,timestamp,site_id,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed
0,2016-01-01 00:00:00,Cornell,,,,,,,,
1,2016-01-01 01:00:00,Cornell,,,,,,,,
2,2016-01-01 02:00:00,Cornell,,,,,,,,
3,2016-01-01 03:00:00,Cornell,,,,,,,,
4,2016-01-01 04:00:00,Cornell,,,,,,,,
5,2016-01-01 05:00:00,Cornell,,,,,,,,
6,2016-01-01 06:00:00,Cornell,,,,,,,,
7,2016-01-01 07:00:00,Cornell,-1.0,,-3.0,,,,250.0,2.6
8,2016-01-01 08:00:00,Cornell,-1.0,,-3.0,,,,240.0,3.1
9,2016-01-01 09:00:00,Cornell,-1.0,,-2.0,,,,240.0,4.1
10,2016-01-01 10:00:00,Cornell,-1.0,,-2.0,,,,240.0,4.6
11,2016-01-01 11:00:00,Cornell,-1.0,,-3.0,,,,270.0,5.1
12,2016-01-01 12:00:00,Cornell,-1.0,,-4.0,,,,240.0,7.2
13,2016-01-01 13:00:00,Cornell,-1.0,,-4.0,,,,240.0,7.2
14,2016-01-01 14:00:00,Cornell,0.0,,-5.0,,,,280.0,7.7
15,2016-01-01 15:00:00,Cornell,,,,,,,,
16,2016-01-01 16:00:00,Cornell,-3.0,,-4.0,,,,320.0,4.1
17,2016-01-01 17:00:00,Cornell,-3.0,,-4.0,,,,320.0,3.6
18,2016-01-01 18:00:00,Cornell,-3.0,,-4.0,,,,320.0,3.6
19,2016-01-01 19:00:00,Cornell,-3.0,,-4.0,,,,320.0,3.6
20,2016-01-01 20:00:00,Cornell,-3.0,,-4.0,,,,320.0,5.7
21,2016-01-01 21:00:00,Cornell,-4.0,,-7.0,,,,320.0,5.1
22,2016-01-01 22:00:00,Cornell,-4.0,4.0,-8.0,,,,300.0,5.1
23,2016-01-01 23:00:00,Cornell,,,,,,,,
24,2016-01-02 00:00:00,Cornell,,,,,,,,
25,2016-01-02 01:00:00,Cornell,,,,,,,,
26,2016-01-02 02:00:00,Cornell,,,,,,,,
27,2016-01-02 03:00:00,Cornell,,,,,,,,
28,2016-01-02 04:00:00,Cornell,,,,,,,,
29,2016-01-02 05:00:00,Cornell,,,,,,,,
30,2016-01-02 06:00:00,Cornell,,,,,,,,
31,2016-01-02 07:00:00,Cornell,-3.0,,-7.0,,,,280.0,4.1
32,2016-01-02 08:00:00,Cornell,-3.0,,-6.0,,,,290.0,2.1
33,2016-01-02 09:00:00,Cornell,-3.0,,-6.0,,,,280.0,2.1
34,2016-01-02 10:00:00,Cornell,-3.0,,-5.0,,,,200.0,2.1
35,2016-01-02 11:00:00,Cornell,-2.0,,-4.0,,,,220.0,4.6
36,2016-01-02 12:00:00,Cornell,-2.0,,-5.0,,,,230.0,6.2
37,2016-01-02 13:00:00,Cornell,-2.0,,-6.0,,,,230.0,3.6
38,2016-01-02 14:00:00,Cornell,-2.0,,-6.0,,,,230.0,3.1
39,2016-01-02 15:00:00,Cornell,-2.0,,-6.0,,,,250.0,5.1
40,2016-01-02 16:00:00,Cornell,-2.0,,-5.0,,,,230.0,4.1
41,2016-01-02 17:00:00,Cornell,-2.0,,-5.0,,,,230.0,4.1
42,2016-01-02 18:00:00,Cornell,-2.0,,-5.0,,,,230.0,4.6
43,2016-01-02 19:00:00,Cornell,-1.0,,-5.0,,,,230.0,4.6
44,2016-01-02 20:00:00,Cornell,-1.0,,-5.0,,,,230.0,3.1
45,2016-01-02 21:00:00,Cornell,-2.0,,-7.0,,,,230.0,3.1
46,2016-01-02 22:00:00,Cornell,-2.0,,-6.0,,,,230.0,3.6
47,2016-01-02 23:00:00,Cornell,,,,,,,,
48,2016-01-03 00:00:00,Cornell,,,,,,,,
49,2016-01-03 01:00:00,Cornell,,,,,,,,
50,2016-01-03 02:00:00,Cornell,,,,,,,,
51,2016-01-03 03:00:00,Cornell,,,,,,,,
52,2016-01-03 04:00:00,Cornell,,,,,,,,
53,2016-01-03 05:00:00,Cornell,,,,,,,,
54,2016-01-03 06:00:00,Cornell,,,,,,,,
55,2016-01-03 07:00:00,Cornell,0.0,,-4.0,,,,240.0,6.2
56,2016-01-03 08:00:00,Cornell,1.0,,-4.0,,,,250.0,3.6
57,2016-01-03 09:00:00,Cornell,1.0,,-3.0,,,,270.0,5.1
58,2016-01-03 10:00:00,Cornell,-1.0,,-2.0,,,,320.0,3.1
59,2016-01-03 11:00:00,Cornell,-1.0,,-2.0,,,,300.0,2.1
60,2016-01-03 12:00:00,Cornell,1.0,,-2.0,,,,260.0,3.1
61,2016-01-03 13:00:00,Cornell,1.0,,-3.0,,,,270.0,4.1
62,2016-01-03 14:00:00,Cornell,1.0,,-3.0,,,,270.0,3.6
63,2016-01-03 15:00:00,Cornell,1.0,,-3.0,,,,280.0,4.1
64,2016-01-03 16:00:00,Cornell,1.0,,-3.0,,,,290.0,4.6
65,2016-01-03 17:00:00,Cornell,1.0,,-4.0,,,,290.0,5.1
66,2016-01-03 18:00:00,Cornell,0.0,,-2.0,,,,320.0,8.8
67,2016-01-03 19:00:00,Cornell,-2.0,,-4.0,,,,330.0,6.2
68,2016-01-03 20:00:00,Cornell,-3.0,,-5.0,,,,320.0,6.7
69,2016-01-03 21:00:00,Cornell,-4.0,,-7.0,,,,310.0,5.7
70,2016-01-03 22:00:00,Cornell,-4.0,,-8.0,,,,300.0,5.1
71,2016-01-03 23:00:00,Cornell,,,,,,,,
72,2016-01-04 00:00:00,Cornell,,,,,,,,
73,2016-01-04 01:00:00,Cornell,,,,,,,,
74,2016-01-04 02:00:00,Cornell,,,,,,,,
75,2016-01-04 03:00:00,Cornell,,,,,,,,
76,2016-01-04 04:00:00,Cornell,,,,,,,,
77,2016-01-04 05:00:00,Cornell,,,,,,,,
78,2016-01-04 06:00:00,Cornell,,,,,,,,
79,2016-01-04 07:00:00,Cornell,-12.0,,-14.0,,,,300.0,4.1
80,2016-01-04 08:00:00,Cornell,-12.0,,-14.0,,,,360.0,5.1
81,2016-01-04 09:00:00,Cornell,-12.0,,-15.0,,,,10.0,6.2
82,2016-01-04 10:00:00,Cornell,-12.0,,-15.0,,,,10.0,4.1
83,2016-01-04 11:00:00,Cornell,-13.0,,-16.0,,,,340.0,8.2
84,2016-01-04 12:00:00,Cornell,-13.0,,-16.0,,,,350.0,5.7
85,2016-01-04 13:00:00,Cornell,-12.0,,-16.0,,,,350.0,5.7
86,2016-01-04 14:00:00,Cornell,-13.0,,-17.0,,,,360.0,6.7
87,2016-01-04 15:00:00,Cornell,-13.0,,-17.0,,,,350.0,7.2
88,2016-01-04 16:00:00,Cornell,-14.0,,-18.0,,,,340.0,5.7
89,2016-01-04 17:00:00,Cornell,-14.0,,-18.0,,,,350.0,5.7
90,2016-01-04 18:00:00,Cornell,-14.0,,-17.0,,,,360.0,6.2
91,2016-01-04 19:00:00,Cornell,-14.0,,-17.0,,,,350.0,5.1
